"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 25, 2019","45.12","42.72","46.49","42.31","141.12M","6.72%"
"Aug 18, 2019","42.28","44.84","45.82","42.20","162.03M","-3.89%"
"Aug 11, 2019","43.99","46.60","47.20","42.31","162.67M","-6.40%"
"Aug 04, 2019","47.00","45.92","47.96","45.15","132.71M","0.28%"
"Jul 28, 2019","46.87","45.42","49.34","45.21","204.78M","2.76%"
"Jul 21, 2019","45.61","51.75","53.21","44.45","276.94M","-11.68%"
"Jul 14, 2019","51.64","49.60","51.99","48.97","203.63M","5.34%"
"Jul 07, 2019","49.02","46.25","49.08","45.46","189.66M","5.15%"
"Jun 30, 2019","46.62","46.04","48.31","44.44","193.82M","4.32%"
"Jun 23, 2019","44.69","44.65","45.45","43.47","168.16M","0.72%"
"Jun 16, 2019","44.37","43.10","46.95","42.85","258.37M","3.23%"
"Jun 09, 2019","42.98","42.05","44.68","41.50","265.19M","5.09%"
"Jun 02, 2019","40.90","37.10","42.20","35.40","383.14M","10.45%"
"May 26, 2019","37.03","38.24","39.00","36.82","203.07M","-2.88%"
"May 19, 2019","38.13","40.56","41.48","37.24","489.49M","-9.67%"
"May 12, 2019","42.21","46.40","46.90","41.78","253.27M","-11.88%"
"May 05, 2019","47.90","50.00","51.67","47.20","204.31M","-6.10%"
"Apr 28, 2019","51.01","47.17","51.32","46.30","393.75M","8.46%"
"Apr 21, 2019","47.03","53.80","53.94","46.23","390.14M","-13.94%"
"Apr 14, 2019","54.65","53.73","55.00","51.73","141.57M","2.07%"
"Apr 07, 2019","53.54","55.54","56.23","53.12","199.79M","-2.64%"
"Mar 31, 2019","54.99","56.52","59.23","52.12","291.39M","-1.75%"
"Mar 24, 2019","55.97","51.94","56.07","50.89","195.55M","5.78%"
"Mar 17, 2019","52.91","55.20","55.61","52.69","218.41M","-3.96%"
"Mar 10, 2019","55.09","56.70","59.08","54.88","218.15M","-3.06%"
"Mar 03, 2019","56.83","59.62","59.80","54.02","322.30M","-3.61%"
"Feb 24, 2019","58.96","59.58","64.00","57.75","299.12M","0.03%"
"Feb 17, 2019","58.94","61.31","62.31","58.10","129.80M","-4.29%"
"Feb 10, 2019","61.58","62.32","63.72","60.20","134.47M","0.69%"
"Feb 03, 2019","61.16","62.60","64.85","59.70","157.49M","-2.05%"
"Jan 27, 2019","62.44","58.58","63.22","57.55","210.74M","5.10%"
"Jan 20, 2019","59.41","60.96","61.60","55.86","199.33M","-1.72%"
"Jan 13, 2019","60.45","68.48","70.40","59.95","219.12M","-12.96%"
"Jan 06, 2019","69.45","64.34","69.68","63.55","155.44M","9.30%"
"Dec 30, 2018","63.54","67.56","67.84","59.48","161.60M","-4.84%"
"Dec 23, 2018","66.77","62.70","67.25","58.82","161.19M","4.41%"
"Dec 16, 2018","63.95","72.40","73.14","62.37","200.68M","-12.56%"
"Dec 09, 2018","73.14","72.00","75.57","70.62","158.26M","2.17%"
"Dec 02, 2018","71.59","72.00","75.90","70.15","180.61M","2.13%"
"Nov 25, 2018","70.10","65.00","70.32","65.00","135.94M","7.56%"
"Nov 18, 2018","65.17","71.27","73.35","65.11","133.02M","-8.03%"
"Nov 11, 2018","70.86","69.67","71.14","66.07","146.31M","1.08%"
"Nov 04, 2018","70.10","68.10","71.52","66.03","170.79M","1.18%"
"Oct 28, 2018","69.28","67.49","69.84","64.45","235.23M","4.68%"
"Oct 21, 2018","66.18","52.14","67.98","50.52","464.76M","27.27%"
"Oct 14, 2018","52.00","51.81","56.54","50.70","195.89M","0.46%"
"Oct 07, 2018","51.76","52.90","53.55","49.55","268.59M","-1.20%"
"Sep 30, 2018","52.39","61.15","63.37","52.00","346.37M","-1.06%"
"Sep 23, 2018","52.95","59.70","62.99","52.11","296.63M","-11.48%"
"Sep 16, 2018","59.82","58.01","61.20","55.10","220.65M","1.32%"
"Sep 09, 2018","59.04","54.65","59.47","54.20","232.87M","12.14%"
"Sep 02, 2018","52.65","59.39","59.64","50.45","230.22M","-12.73%"
"Aug 26, 2018","60.33","63.60","64.49","59.54","203.84M","-6.55%"
"Aug 19, 2018","64.56","58.34","65.46","57.64","226.35M","5.66%"
"Aug 12, 2018","61.10","72.23","72.64","60.71","257.87M","-14.06%"
"Aug 05, 2018","71.10","69.09","77.49","67.83","463.74M","2.11%"
"Jul 29, 2018","69.63","59.18","71.00","57.23","294.46M","17.14%"
"Jul 22, 2018","59.44","60.37","62.14","58.51","190.06M","-5.23%"
"Jul 15, 2018","62.72","62.34","65.10","61.25","157.60M","-1.65%"
"Jul 08, 2018","63.77","62.40","65.54","61.60","167.75M","3.22%"
"Jul 01, 2018","61.78","72.01","72.96","59.24","286.92M","-9.93%"
"Jun 24, 2018","68.59","66.02","71.40","65.16","188.04M","2.79%"
"Jun 17, 2018","66.73","71.08","74.75","66.40","257.26M","-6.84%"
"Jun 10, 2018","71.63","64.50","72.93","64.50","334.15M","12.75%"
"Jun 03, 2018","63.53","58.87","66.00","57.35","260.55M","8.86%"
"May 27, 2018","58.36","55.70","59.00","55.23","122.50M","4.64%"
"May 20, 2018","55.77","56.27","58.30","54.68","160.83M","0.74%"
"May 13, 2018","55.36","60.66","60.99","54.80","170.76M","-8.06%"
"May 06, 2018","60.21","59.50","62.60","59.03","153.33M","2.36%"
"Apr 29, 2018","58.82","58.72","61.37","55.05","218.73M","0.02%"
"Apr 22, 2018","58.81","58.26","58.89","55.30","116.56M","1.31%"
"Apr 15, 2018","58.05","59.80","60.20","56.50","158.07M","-3.36%"
"Apr 08, 2018","60.07","60.07","61.90","57.84","218.47M","0.35%"
"Apr 01, 2018","59.86","51.25","61.86","48.92","437.48M","12.46%"
"Mar 25, 2018","53.23","61.47","61.52","49.64","292.10M","-11.74%"
"Mar 18, 2018","60.31","63.30","64.49","60.09","149.01M","-6.16%"
"Mar 11, 2018","64.27","65.72","69.44","63.81","174.40M","-1.77%"
"Mar 04, 2018","65.43","66.48","67.55","64.35","110.95M","-2.37%"
"Feb 25, 2018","67.02","70.70","72.00","64.59","135.93M","-4.81%"
"Feb 18, 2018","70.41","66.89","71.00","66.30","100.08M","4.93%"
"Feb 11, 2018","67.10","63.23","68.62","61.25","131.47M","8.09%"
"Feb 04, 2018","62.08","67.59","69.72","58.95","198.85M","-9.70%"
"Jan 28, 2018","68.75","67.97","71.93","67.66","117.91M","0.26%"
"Jan 21, 2018","68.57","69.88","72.10","67.14","141.21M","-2.04%"
"Jan 14, 2018","70.00","67.51","70.46","66.96","120.76M","4.10%"
"Jan 07, 2018","67.24","63.20","68.96","63.10","163.93M","6.19%"
"Dec 31, 2017","63.32","62.40","65.05","61.14","117.06M","1.69%"
"Dec 24, 2017","62.27","64.77","64.79","61.91","85.92M","-4.26%"
"Dec 17, 2017","65.04","68.98","69.35","64.96","134.28M","-5.31%"
"Dec 10, 2017","68.69","62.93","69.49","62.75","178.13M","8.98%"
"Dec 03, 2017","63.03","61.30","63.73","60.00","129.63M","2.81%"
"Nov 26, 2017","61.31","62.65","64.00","60.25","134.59M","-2.85%"
"Nov 19, 2017","63.11","62.76","63.65","60.95","118.35M","0.16%"
"Nov 12, 2017","63.01","60.03","65.33","59.82","193.98M","3.98%"
"Nov 05, 2017","60.60","61.40","61.67","59.26","132.89M","-1.01%"
"Oct 29, 2017","61.22","63.84","66.52","58.53","235.35M","-4.60%"
"Oct 22, 2017","64.17","69.98","69.99","63.33","154.18M","-7.03%"
"Oct 15, 2017","69.02","70.75","72.60","68.87","118.00M","-2.94%"
"Oct 08, 2017","71.11","69.93","71.96","68.53","133.00M","-0.38%"
